DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,AIRLINE_ID,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,YEAR,MONTH
68.0,63.0,7812.0,19930,Alaska Airlines Inc.,3,3,2024,3
58.0,16.0,2848.0,19930,Alaska Airlines Inc.,3,3,2024,1
58.0,34.0,6052.0,19930,Alaska Airlines Inc.,3,3,2024,3
58.0,35.0,6230.0,19930,Alaska Airlines Inc.,3,3,2024,2
58.0,38.0,6764.0,19930,Alaska Airlines Inc.,3,3,2024,2
58.0,44.0,7832.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,22.0,3916.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,22.0,3916.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,23.0,4094.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,23.0,4094.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,27.0,4806.0,19930,Alaska Airlines Inc.,3,3,2024,1
38.0,25.0,4450.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,28.0,3472.0,19930,Alaska Airlines Inc.,3,3,2024,3
38.0,28.0,3472.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,5.0,0.0,19930,Alaska Airlines Inc.,3,3,2024,4
20.0,15.0,2670.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,5.0,798.0,19930,Alaska Airlines Inc.,3,3,2024,4
38.0,32.0,5696.0,19930,Alaska Airlines Inc.,3,3,2024,3
38.0,31.0,4932.0,19930,Alaska Airlines Inc.,3,3,2024,3
38.0,31.0,3844.0,19930,Alaska Airlines Inc.,3,3,2024,3
38.0,30.0,5340.0,19930,Alaska Airlines Inc.,3,3,2024,3
38.0,28.0,4984.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,5.0,795.0,19930,Alaska Airlines Inc.,3,3,2024,2
20.0,15.0,2391.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,24.0,4272.0,19930,Alaska Airlines Inc.,3,3,2024,2
38.0,23.0,4094.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,2
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,3
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,1
6.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
3.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,4.0,712.0,19930,Alaska Airlines Inc.,3,3,2024,2
11.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,3.0,534.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,2.0,356.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,1.0,178.0,19930,Alaska Airlines Inc.,3,3,2024,3
60.0,52.0,9256.0,19930,Alaska Airlines Inc.,3,3,2024,4
11.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,3
60.0,49.0,6076.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,5.0,890.0,19930,Alaska Airlines Inc.,3,3,2024,4
39.0,37.0,6586.0,19930,Alaska Airlines Inc.,3,3,2024,3
60.0,38.0,6764.0,19930,Alaska Airlines Inc.,3,3,2024,2
66.0,57.0,10146.0,19930,Alaska Airlines Inc.,3,3,2024,4
66.0,56.0,6944.0,19930,Alaska Airlines Inc.,3,3,2024,1
66.0,59.0,7316.0,19930,Alaska Airlines Inc.,3,3,2024,4
66.0,51.0,9078.0,19930,Alaska Airlines Inc.,3,3,2024,2
60.0,35.0,6230.0,19930,Alaska Airlines Inc.,3,3,2024,2
39.0,36.0,6408.0,19930,Alaska Airlines Inc.,3,3,2024,4
39.0,36.0,6408.0,19930,Alaska Airlines Inc.,3,3,2024,1
11.0,10.0,1240.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,8.0,1424.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,8.0,1424.0,19930,Alaska Airlines Inc.,3,3,2024,3
11.0,8.0,1424.0,19930,Alaska Airlines Inc.,3,3,2024,3
